X1,X2,X3,Y
-1.6225,-1.0557,-0.5374,-5.4037
0.035486,2.7814,0.6709,7.7061
-2.1228,-0.22395,-2.207,-9.3762
0.26027,0.06379,-0.048206,0.18949
0.97056,-1.7169,0.89538,0.073825
-0.16179,0.57564,0.61009,2.973
-0.26298,1.4469,-0.22671,1.9629
0.85362,-0.064873,0.34216,1.6368
-1.3735,2.1082,0.061807,3.0446
0.82696,-0.029883,-0.091755,0.84697
0.68294,-0.49181,0.05972,-0.12656
-0.098841,2.1298,0.5212,5.6841
1.0308,-0.18059,-0.33979,-0.084969
-0.35244,-0.87255,-0.72751,-4.2183
-0.12513,0.050069,-0.84322,-2.5646
-2.6609,0.13541,0.17806,-1.6858
1.2705,-0.054828,-1.3299,-2.6689
-0.60938,-0.79674,0.3647,-1.1578
1.2878,0.39597,-0.9163,-0.84906
0.1632,-0.35164,2.6356,7.2929
1.879,-0.20936,1.3992,5.8008
1.5098,0.61625,-0.077132,2.2553
0.55457,-0.57999,-0.3923,-1.8128
-0.028265,-0.35754,-0.57993,-2.4917
-0.83355,0.75763,1.2301,4.7793
-0.70393,-1.9546,0.29497,-4.039
0.70141,-1.0877,-1.4478,-5.9514
1.2276,-0.49675,-0.77844,-2.296
0.24725,-0.25481,-0.67905,-1.9702
0.10873,0.078965,-1.0525,-2.9401
-0.836,-0.24465,1.4554,2.9578
0.57492,0.25873,-0.67903,-1.1073
0.69592,0.054495,-2.5563,-6.994
1.6797,-1.3586,-0.77117,-3.5197
0.27353,2.1949,-1.0464,1.8513
-0.7605,-0.22082,-1.1203,-4.467
2.6633,0.17794,-0.63077,1.4052
0.72085,0.31833,0.39102,2.4888
0.050604,0.35804,-0.22665,-0.10371
0.37542,-1.7601,0.77307,-0.55549
0.42537,-0.27749,-1.1666,-3.5116
0.2039,-1.1855,-2.4904,-9.5596
3.1068,-1.5405,0.041371,-0.010303
-1.7191,1.163,0.99014,3.5678
-0.54039,0.92063,0.020353,1.2956
0.62852,1.1948,-0.59392,1.08
-0.045791,-0.24032,0.78031,1.7497
0.48688,0.91743,-0.66041,0.37615
1.922,-0.038351,-0.75999,-0.91866
0.24806,0.091103,0.080896,0.88494
1.0361,0.48634,1.195,5.9232
-0.83385,-0.44009,1.9939,3.9682
0.53148,1.7795,-0.37595,3.2339
-1.5026,0.30044,-1.5367,-5.8836
1.3946,-0.19354,-0.2132,0.32831
0.81605,-0.35275,1.2711,3.9047
-0.48243,0.58188,-0.29628,-0.029916
-0.43528,-1.0602,1.3919,1.3497
0.28896,0.057878,-1.4916,-4.117
-1.1219,0.51293,-0.41734,-1.1603
0.36372,-0.20219,-0.10409,-0.44977
0.15206,-0.13496,0.51187,1.0459
1.154,0.087331,-0.57962,-0.54526
1.1635,-0.24436,-1.1795,-2.7811
-0.54848,1.6631,-0.99263,-0.31766
-0.22762,0.11589,-0.86211,-2.4686
-1.0232,0.14334,-0.2039,-1.2717
-0.88931,1.1875,-0.27723,0.47494
-1.2885,-1.0176,0.17373,-2.8586
1.2938,0.93974,-0.53552,1.3766
-0.90262,0.26386,1.7799,4.7147
-0.31801,0.80346,-0.529,-0.40122
-0.14977,1.5728,1.6362,7.7946
-0.26647,0.12984,0.77235,2.5096
1.212,1.5548,-1.2248,0.63257
1.0195,-0.80495,-1.5334,-5.3707
-0.52502,0.44587,0.68589,2.2715
-0.63548,1.0142,-0.14668,1.1971
-0.022583,1.4449,1.0877,5.9705
-0.9186,-0.66462,-0.65518,-4.141
0.12303,-0.37509,-0.33389,-1.8622
-0.33796,-0.33379,0.19767,-0.70939
-0.9712,-1.7724,0.6081,-2.5011
-1.2067,0.37922,0.56609,1.2141
-1.3977,-0.81156,-0.88602,-5.7343
-1.1231,-0.31089,-0.21292,-2.3421
1.1905,1.8194,-0.16857,4.7345
-2.1202,1.6172,-0.80694,-1.2607
1.6483,0.12058,-0.27055,1.3249
0.34493,2.6941,1.2121,9.3053
-0.083445,0.057516,-0.58903,-1.8701
-1.1554,0.70823,1.0865,3.7196
-0.38861,-0.39993,-2.1982,-7.8714
0.28374,0.0020086,0.95316,3.4267
0.22096,1.4712,-0.74748,0.82489
-0.38849,-0.29442,-0.8725,-3.6602
0.37699,0.014564,0.48362,1.8589
0.85094,-1.4064,-3.0023,-11.126
-0.69243,1.6376,1.3434,6.6787
-0.45284,0.48057,-1.6107,-4.3567
1.2721,0.60923,-0.87611,-0.20326
0.26544,-0.29133,-0.33531,-1.4541
-0.28678,0.37828,1.3061,4.3088
1.9241,-1.6578,-0.2544,-2.0702
1.7151,-0.13246,-1.0427,-1.6963
0.69831,0.60942,0.4907,3.232
1.665,-0.38998,-0.73121,-0.93256
1.3545,-0.84952,2.811,8.3962
-2.3128,2.6227,0.46601,4.4997
-0.76284,-1.252,1.7401,1.6235
0.76009,-0.55875,-0.25363,-0.98768
-2.5886,-0.1324,-1.4851,-7.2937
-0.22683,0.54314,-0.11588,0.67782
0.30032,0.38002,-1.5747,-3.6709
0.31338,0.95053,2.4256,9.5985
0.23009,-1.3037,-1.3766,-6.6333
0.10454,-0.10817,-1.7881,-5.3933
-0.092741,2.5617,-0.49285,3.2833
0.42303,-1.9349,-3.2637,-13.504
-1.2813,-1.4035,-0.77447,-6.6886
-1.0225,-0.029711,-0.21546,-1.7066
0.51741,-0.73678,1.6262,4.0086
1.6588,-2.9131,-0.34534,-5.2424
-1.3667,0.51743,-0.88232,-2.8014
-0.72807,-1.6755,1.0759,-0.74765
-1.3721,-0.081101,-0.66463,-3.5776
-1.4316,0.69439,-0.9548,-2.5982
-1.6481,0.092983,0.81986,0.76732
3.414,0.84418,-0.35212,4.0518
-0.8736,0.99273,-0.84012,-1.6357
-0.90553,-0.80886,0.17208,-2.1526
-0.40741,0.47849,1.3994,5.0276
-0.35249,0.11153,0.61796,1.9192
0.87911,0.2809,-0.12391,1.2176
-1.2627,-0.21018,0.050521,-1.6131
-1.8604,-2.0668,0.016089,-6.2472
1.1066,0.45342,-0.92669,-1.0078
-1.3585,-0.011747,-0.81132,-3.6849
-0.86105,0.014917,1.3314,3.4615
0.038882,-0.98742,-0.25155,-2.4662
0.55208,-0.75259,0.39844,0.25397
1.5572,-0.60094,-0.26182,-0.18325
-0.87847,-0.68239,1.0488,1.06
0.28903,-0.67282,-0.36742,-2.2527
-0.43942,1.4049,0.45705,3.9019
0.83469,2.4094,2.4903,13.163
-0.017816,-0.64258,-0.33873,-1.9715
-1.3298,-0.70377,-0.095993,-3.1814
-3.1405,-1.4029,0.28304,-5.1241
-0.24648,-1.5546,-0.60463,-5.0126
-0.39158,0.39884,0.21872,1.1508
-0.16184,0.25331,-0.81321,-2.0932
1.3088,-0.71909,1.013,2.7964
-0.0358,-0.25649,-0.35045,-1.7667
0.4637,1.0907,1.6863,7.6644
-0.26751,-0.98574,0.068578,-2.076
-1.1816,0.078532,-0.66011,-3.1145
0.74773,-0.60922,-0.21484,-0.99521
-0.060787,0.49852,0.014561,1.1748
-1.4659,0.46172,0.71159,2.0256
0.14964,0.72505,-0.9007,-1.0131
-0.64333,0.12837,0.6332,1.4867
-1.684,0.80193,-0.44682,-1.2972
-0.43088,-0.54535,-1.1705,-5.1523
0.6631,1.6711,-0.40878,3.0531
-0.057551,0.72354,-1.682,-3.4626
1.2931,-0.93319,0.4355,0.82738
0.041306,-1.4871,-1.8917,-8.6858
1.2389,0.16704,1.8048,7.2241
0.77461,-1.9724,0.66095,-1.1532
-0.79167,-0.21224,0.66966,0.9963
-0.78829,1.1437,0.37504,2.6772
-0.58422,0.052203,-1.4833,-5.0656
-0.4434,-0.012759,-0.37801,-1.958
0.40443,0.28534,-0.65309,-0.84605
-0.80253,0.35403,-0.71573,-2.2725
0.14409,-1.3726,0.66658,-0.80233
-1.1291,-1.3832,-0.17473,-4.4377
-0.53702,0.74993,-1.0747,-1.9198
-0.79722,-1.0118,0.26617,-1.919
0.7651,-0.30638,0.22604,0.71471
-1.3171,-0.37904,0.77294,0.091914
-0.13084,-0.45505,0.08263,-0.48095
-0.16543,-0.68902,-0.54249,-3.1831
0.10734,-1.8147,-0.67894,-5.5146
0.46589,-1.2847,-1.481,-6.6431
-0.23749,-0.024706,0.97293,2.5404
0.40623,0.58093,0.062858,1.9482
-1.9253,-0.1688,-0.32128,-3.2823
-0.72388,0.10845,0.4098,0.80336
0.99569,0.47139,0.93236,4.8338
0.90331,1.602,0.32258,4.8951
-0.16222,0.43182,0.86414,2.9601
-0.91426,0.14692,-0.68998,-2.7723
-1.1843,-0.25889,-0.59927,-3.4427
1.0689,-0.87328,-2.3508,-7.7021
-0.035719,0.11746,-0.26541,-0.66275
