Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Direction
0.381,-0.192,-2.624,-1.055,5.01,1.1913,1
0.959,0.381,-0.192,-2.624,-1.055,1.2965,1
1.032,0.959,0.381,-0.192,-2.624,1.4112,-1
-0.623,1.032,0.959,0.381,-0.192,1.276,1
1.392,0.213,0.614,-0.623,1.032,1.445,-1
-0.403,1.392,0.213,0.614,-0.623,1.4078,1
0.027,-0.403,1.392,0.213,0.614,1.164,1
1.303,0.027,-0.403,1.392,0.213,1.2326,1
0.287,1.303,0.027,-0.403,1.392,1.309,-1
0.701,0.68,-0.189,-0.498,0.287,1.1498,-1
0.546,-0.562,0.701,0.68,-0.189,1.1188,-1
-1.747,0.546,-0.562,0.701,0.68,1.0484,1
0.359,-1.747,0.546,-0.562,0.701,1.013,-1
-0.151,0.359,-1.747,0.546,-0.562,1.0596,-1
-0.841,-0.151,0.359,-1.747,0.546,1.1583,-1
-0.623,-0.841,-0.151,0.359,-1.747,1.1072,-1
-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1
1.183,-1.334,-0.623,-0.841,-0.151,1.0391,-1
-0.218,-0.865,1.183,-1.334,-0.623,1.1503,1
0.812,-0.218,-0.865,1.183,-1.334,1.1537,-1
-1.891,0.812,-0.218,-0.865,1.183,1.2572,-1
-1.736,-1.891,0.812,-0.218,-0.865,1.1122,-1
-1.851,-1.736,-1.891,0.812,-0.218,1.2085,-1
1.749,-0.556,-0.195,-1.851,-1.736,1.1308,-1
-0.766,1.749,-0.556,-0.195,-1.851,1.1141,-1
0.104,-1.431,-0.766,1.749,-0.556,1.2949,-1
-0.568,0.104,-1.431,-0.766,1.749,1.294,1
0.586,-0.568,0.104,-1.431,-0.766,0.9292,1
0.998,0.586,-0.568,0.104,-1.431,1.0918,1
0.645,0.998,0.586,-0.568,0.104,1.1322,1
0.226,0.645,0.998,0.586,-0.568,1.1141,-1
-4.318,-2.476,0.226,0.645,0.998,1.229,1
1.483,-4.318,-2.476,0.226,0.645,1.3609,-1
-2.584,1.483,-4.318,-2.476,0.226,1.3974,1
0.587,-2.584,1.483,-4.318,-2.476,1.2595,-1
-1.962,0.587,-2.584,1.483,-4.318,1.54356,1
-2.408,1.763,-1.962,0.587,-2.584,1.2359,-1
-1.792,-2.408,1.763,-1.962,0.587,1.3463,-1
